episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
24,False,999,4.0571160316467285,"[0.05, 0.05]",0
25,False,999,4.164112091064453,"[0.05, 0.05]",0
26,True,678,4.758058547973633,"[0.05, 0.05]",0
27,True,710,4.589560508728027,"[0.05, 0.05]",0
28,True,590,4.650041103363037,"[0.05, 0.05]",0
29,True,436,5.522221565246582,"[0.05, 0.05]",0
30,True,284,4.761996269226074,"[0.05, 0.05]",0
31,False,999,3.9386587142944336,"[0.05, 0.05]",0
32,True,333,4.807962894439697,"[0.05, 0.05]",0
33,True,773,4.458101272583008,"[0.05, 0.05]",0
34,True,595,4.467489242553711,"[0.05, 0.05]",0
35,False,999,4.367666244506836,"[0.05, 0.05]",0
36,False,999,4.706970691680908,"[0.05, 0.05]",0
37,False,999,3.904265880584717,"[0.05, 0.05]",0
38,True,905,4.838690757751465,"[0.05, 0.05]",0
39,True,200,4.760722637176514,"[0.05, 0.05]",0
