episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
36,True,401,5.065748691558838,"[0.05, 0.05]",8
37,True,311,4.494818687438965,"[0.05, 0.05]",8
38,True,974,4.248989582061768,"[0.05, 0.05]",8
39,True,527,4.613141059875488,"[0.05, 0.05]",8
0,True,410,34.46074676513672,"[0.05, 0.05]",2
1,True,383,52.076908111572266,"[0.05, 0.05]",2
2,False,999,32.95161056518555,"[0.05, 0.05]",2
3,True,495,29.500646591186523,"[0.05, 0.05]",2
4,True,345,24.71147346496582,"[0.05, 0.05]",2
5,True,252,27.709949493408203,"[0.05, 0.05]",2
6,True,504,27.52341651916504,"[0.05, 0.05]",2
7,True,660,9.883399963378906,"[0.05, 0.05]",2
8,True,608,11.059097290039062,"[0.05, 0.05]",2
9,False,999,4.40344762802124,"[0.05, 0.05]",2
10,True,912,5.99589729309082,"[0.05, 0.05]",2
11,True,357,5.838446140289307,"[0.05, 0.05]",2
12,True,523,4.4170942306518555,"[0.05, 0.05]",2
13,True,469,5.496679782867432,"[0.05, 0.05]",2
14,True,966,4.621065139770508,"[0.05, 0.05]",2
15,True,497,4.71732234954834,"[0.05, 0.05]",2
16,True,756,5.928439140319824,"[0.05, 0.05]",2
17,True,204,4.578374862670898,"[0.05, 0.05]",2
18,True,509,4.429007530212402,"[0.05, 0.05]",2
19,True,505,5.076931953430176,"[0.05, 0.05]",2
20,True,929,4.951656341552734,"[0.05, 0.05]",2
21,False,999,4.762619495391846,"[0.05, 0.05]",2
22,False,999,4.3885579109191895,"[0.05, 0.05]",2
23,True,722,5.089418411254883,"[0.05, 0.05]",2
24,True,670,4.025327682495117,"[0.05, 0.05]",2
25,True,201,4.498167514801025,"[0.05, 0.05]",2
26,True,621,4.300535678863525,"[0.05, 0.05]",2
27,True,345,4.6280694007873535,"[0.05, 0.05]",2
28,False,999,3.920346975326538,"[0.05, 0.05]",2
29,True,879,4.957334995269775,"[0.05, 0.05]",2
30,False,999,4.189304351806641,"[0.05, 0.05]",2
31,True,863,5.132284641265869,"[0.05, 0.05]",2
32,False,999,4.932295322418213,"[0.05, 0.05]",2
33,False,999,4.131419658660889,"[0.05, 0.05]",2
34,True,346,5.067132949829102,"[0.05, 0.05]",2
35,False,999,4.481573581695557,"[0.05, 0.05]",2
36,True,228,5.4915361404418945,"[0.05, 0.05]",2
37,False,999,4.517720699310303,"[0.05, 0.05]",2
38,False,999,4.117425441741943,"[0.05, 0.05]",2
39,True,769,5.239867210388184,"[0.05, 0.05]",2
0,True,358,51.639278411865234,"[0.05, 0.05]",1
1,False,999,32.626346588134766,"[0.05, 0.05]",1
2,True,861,44.20718765258789,"[0.05, 0.05]",1
3,True,896,15.66110897064209,"[0.05, 0.05]",1
4,True,377,14.068949699401855,"[0.05, 0.05]",1
5,False,999,7.331418991088867,"[0.05, 0.05]",1
6,True,709,5.562730312347412,"[0.05, 0.05]",1
7,True,524,5.821550369262695,"[0.05, 0.05]",1
8,False,999,5.025947570800781,"[0.05, 0.05]",1
9,False,999,3.8887856006622314,"[0.05, 0.05]",1
10,False,999,6.148354530334473,"[0.05, 0.05]",1
11,False,999,3.7726986408233643,"[0.05, 0.05]",1
12,True,875,5.15981912612915,"[0.05, 0.05]",1
13,True,382,5.841489791870117,"[0.05, 0.05]",1
14,False,999,4.00841760635376,"[0.05, 0.05]",1
15,False,999,3.5434107780456543,"[0.05, 0.05]",1
16,True,309,5.744829177856445,"[0.05, 0.05]",1
17,False,999,4.288532733917236,"[0.05, 0.05]",1
18,False,999,4.5994977951049805,"[0.05, 0.05]",1
19,True,949,5.07635498046875,"[0.05, 0.05]",1
20,True,118,4.830933570861816,"[0.05, 0.05]",1
21,True,252,4.727874279022217,"[0.05, 0.05]",1
22,False,999,3.5938711166381836,"[0.05, 0.05]",1
23,True,546,4.188407897949219,"[0.05, 0.05]",1
24,False,999,4.922489643096924,"[0.05, 0.05]",1
25,False,999,4.27901554107666,"[0.05, 0.05]",1
26,True,694,4.242199897766113,"[0.05, 0.05]",1
27,False,999,4.794292449951172,"[0.05, 0.05]",1
28,False,999,4.429684162139893,"[0.05, 0.05]",1
29,True,858,4.501100540161133,"[0.05, 0.05]",1
30,True,196,4.396388530731201,"[0.05, 0.05]",1
31,True,909,4.261919975280762,"[0.05, 0.05]",1
32,True,973,4.88577127456665,"[0.05, 0.05]",1
33,True,313,4.216905117034912,"[0.05, 0.05]",1
34,False,999,4.5122904777526855,"[0.05, 0.05]",1
35,True,350,5.720705032348633,"[0.05, 0.05]",1
36,False,999,4.785728454589844,"[0.05, 0.05]",1
37,False,999,4.092337608337402,"[0.05, 0.05]",1
38,True,532,4.5085272789001465,"[0.05, 0.05]",1
39,True,337,4.874061107635498,"[0.05, 0.05]",1
