episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
35,False,999,10.352783203125,"[0.05, 0.05]",0
36,True,409,12.0474271774292,"[0.05, 0.05]",0
37,True,329,7.946756362915039,"[0.05, 0.05]",0
38,True,353,12.240582466125488,"[0.05, 0.05]",0
39,True,382,8.615486145019531,"[0.05, 0.05]",0
0,True,256,86.33686065673828,"[0.05, 0.05]",3
1,False,999,49.95098114013672,"[0.05, 0.05]",3
2,False,999,55.80601119995117,"[0.05, 0.05]",3
3,True,438,77.82953643798828,"[0.05, 0.05]",3
4,True,565,54.70139694213867,"[0.05, 0.05]",3
5,True,632,78.84123229980469,"[0.05, 0.05]",3
6,True,292,39.241886138916016,"[0.05, 0.05]",3
7,True,682,58.59164810180664,"[0.05, 0.05]",3
8,True,385,43.106136322021484,"[0.05, 0.05]",3
9,True,417,40.46750259399414,"[0.05, 0.05]",3
10,True,325,66.27542877197266,"[0.05, 0.05]",3
11,True,208,37.08937072753906,"[0.05, 0.05]",3
12,True,246,52.69203567504883,"[0.05, 0.05]",3
13,True,659,48.8509521484375,"[0.05, 0.05]",3
14,True,402,41.324092864990234,"[0.05, 0.05]",3
15,True,154,35.63362121582031,"[0.05, 0.05]",3
16,True,101,30.83235740661621,"[0.05, 0.05]",3
17,True,280,50.599082946777344,"[0.05, 0.05]",3
18,True,297,52.22222900390625,"[0.05, 0.05]",3
19,True,219,33.13542556762695,"[0.05, 0.05]",3
20,True,362,55.711578369140625,"[0.05, 0.05]",3
21,True,485,33.81948471069336,"[0.05, 0.05]",3
22,True,148,31.049232482910156,"[0.05, 0.05]",3
23,True,304,44.90319061279297,"[0.05, 0.05]",3
24,False,999,34.446285247802734,"[0.05, 0.05]",3
25,True,290,25.33571434020996,"[0.05, 0.05]",3
26,False,999,22.586257934570312,"[0.05, 0.05]",3
27,True,445,12.456998825073242,"[0.05, 0.05]",3
28,True,174,15.152206420898438,"[0.05, 0.05]",3
29,True,502,17.7160701751709,"[0.05, 0.05]",3
30,True,625,12.189311027526855,"[0.05, 0.05]",3
31,False,999,12.752931594848633,"[0.05, 0.05]",3
32,True,187,9.27994155883789,"[0.05, 0.05]",3
33,True,604,13.487153053283691,"[0.05, 0.05]",3
34,False,999,9.479889869689941,"[0.05, 0.05]",3
35,True,215,6.825852394104004,"[0.05, 0.05]",3
36,True,240,11.610383987426758,"[0.05, 0.05]",3
37,True,229,9.944428443908691,"[0.05, 0.05]",3
38,True,568,12.250346183776855,"[0.05, 0.05]",3
39,True,368,7.8101654052734375,"[0.05, 0.05]",3
0,True,917,73.75627899169922,"[0.05, 0.05]",2
1,True,784,68.2460708618164,"[0.05, 0.05]",2
2,True,950,55.20719528198242,"[0.05, 0.05]",2
3,False,999,48.67695236206055,"[0.05, 0.05]",2
4,True,495,37.45224380493164,"[0.05, 0.05]",2
5,True,283,65.77191162109375,"[0.05, 0.05]",2
6,True,414,49.92301940917969,"[0.05, 0.05]",2
7,True,166,50.24211502075195,"[0.05, 0.05]",2
8,True,339,45.19780349731445,"[0.05, 0.05]",2
9,False,999,52.2749137878418,"[0.05, 0.05]",2
10,True,520,74.30252075195312,"[0.05, 0.05]",2
11,True,253,47.868560791015625,"[0.05, 0.05]",2
12,True,233,44.879886627197266,"[0.05, 0.05]",2
13,True,253,42.32158279418945,"[0.05, 0.05]",2
14,True,292,48.95302963256836,"[0.05, 0.05]",2
15,True,263,43.74332809448242,"[0.05, 0.05]",2
16,True,531,20.03180503845215,"[0.05, 0.05]",2
17,True,224,45.36921691894531,"[0.05, 0.05]",2
18,True,225,36.81163787841797,"[0.05, 0.05]",2
19,True,263,46.630680084228516,"[0.05, 0.05]",2
20,True,401,32.464134216308594,"[0.05, 0.05]",2
21,False,999,30.352420806884766,"[0.05, 0.05]",2
22,False,999,19.649974822998047,"[0.05, 0.05]",2
23,False,999,11.680657386779785,"[0.05, 0.05]",2
24,False,999,14.637929916381836,"[0.05, 0.05]",2
25,False,999,11.402918815612793,"[0.05, 0.05]",2
26,True,302,9.06006145477295,"[0.05, 0.05]",2
27,False,999,9.449898719787598,"[0.05, 0.05]",2
28,True,724,9.994125366210938,"[0.05, 0.05]",2
29,True,484,7.623721122741699,"[0.05, 0.05]",2
30,True,370,7.518287658691406,"[0.05, 0.05]",2
31,True,206,15.628461837768555,"[0.05, 0.05]",2
32,True,187,7.135020732879639,"[0.05, 0.05]",2
33,True,362,8.90630054473877,"[0.05, 0.05]",2
34,True,223,8.168335914611816,"[0.05, 0.05]",2
35,True,827,9.155943870544434,"[0.05, 0.05]",2
36,True,152,8.042759895324707,"[0.05, 0.05]",2
37,True,157,10.758591651916504,"[0.05, 0.05]",2
38,True,213,8.805981636047363,"[0.05, 0.05]",2
39,True,381,5.937053203582764,"[0.05, 0.05]",2
